Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
Fastship Inc,2,62,1.8,0,0,Reference,Lead Import,Email Opened
Urban Cart Inc,1,59,4.0,0,0,Other,Lead Import,SMS Sent
Shopfront LLC,2,207,7.0,0,1,Olark Chat,Lead Add Form,SMS Sent
Threadline Co,0,23,3.0,0,0,Reference,Lead Add Form,Email Opened
Shopfront LLC,0,249,7.4,0,0,Other,Lead Add Form,Converted to Lead
Threadline Inc,0,169,1.8,0,0,Direct Traffic,Landing Page Submission,Page Visited on Website
Marketloop Group,2,41,3.0,0,0,Other,Landing Page Submission,Converted to Lead
Bazaar LLC,1,41,3.7,0,0,Other,Lead Add Form,Email Opened
Threadline Inc,2,102,2.1,0,0,Direct Traffic,Lead Import,Page Visited on Website
Shopfront Ltd,2,35,2.0,0,1,Reference,Lead Import,Olark Chat Conversation
Threadline Ltd,4,126,0.7,0,0,Direct Traffic,API,Page Visited on Website
Basketful Inc,3,97,4.8,1,0,Reference,Landing Page Submission,Email Opened
