Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
Meridian Ltd,0,228,1.5,0,0,Google,API,Olark Chat Conversation
Ledger Co,4,91,7.5,1,0,Reference,Landing Page Submission,Converted to Lead
Ironclad Co,3,97,1.4,0,0,Other,Lead Add Form,Converted to Lead
Bluechip Co,1,201,2.5,0,0,Olark Chat,API,Page Visited on Website
Ledger Co,4,16,3.4,0,0,Reference,Lead Import,Page Visited on Website
Meridian Co,4,191,3.2,0,0,Reference,Lead Import,Converted to Lead
Vault Inc,0,227,2.8,1,1,Google,API,Converted to Lead
Sterling Group,0,49,3.7,0,0,Google,Lead Import,Olark Chat Conversation
Meridian Co,2,97,3.5,0,0,Other,API,Email Opened
Ledger Ltd,3,62,6.6,1,0,Google,Lead Import,Converted to Lead
Meridian LLC,2,242,3.8,0,0,Google,Lead Add Form,Email Opened
Ledger Ltd,4,179,5.1,0,0,Direct Traffic,Lead Import,Olark Chat Conversation
