Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
PulsePoint Ltd,10,1420,5.6,0,1,Google,Landing Page Submission,Email Opened
Beacon Health LLC,13,916,4.2,1,0,Reference,Landing Page Submission,Converted to Lead
MedBridge LLC,8,1794,5.8,0,0,Direct Traffic,Lead Import,Email Opened
Beacon Health Inc,8,1876,0.9,0,1,Google,Lead Import,Email Opened
VitalCare LLC,13,1264,1.3,0,1,Direct Traffic,Lead Add Form,Converted to Lead
Restore LLC,9,867,4.7,0,0,Olark Chat,Landing Page Submission,SMS Sent
Remedy Co,14,942,6.3,0,0,Organic Search,API,Email Opened
VitalCare Ltd,18,1332,0.4,0,0,Organic Search,Landing Page Submission,SMS Sent
Restore Inc,15,813,4.0,0,0,Organic Search,Lead Import,SMS Sent
Restore Co,16,1969,4.1,0,1,Organic Search,Lead Add Form,SMS Sent
Lifegrid Ltd,17,1518,5.2,0,0,Google,Lead Import,Email Opened
PulsePoint Inc,17,1141,6.2,0,1,Direct Traffic,Lead Import,Page Visited on Website
