TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
20,228,0.2,0,0,Direct Traffic,API,Email Opened
17,178,4.7,0,0,Google,API,SMS Sent
16,1232,0.2,0,1,Direct Traffic,Lead Import,Converted to Lead
8,1657,7.0,0,1,Olark Chat,Lead Add Form,SMS Sent
6,1960,6.1,0,0,Organic Search,Landing Page Submission,Olark Chat Conversation
11,1236,2.1,0,1,Reference,Landing Page Submission,Page Visited on Website
2,1130,2.3,0,0,Other,Landing Page Submission,Email Opened
7,1583,2.3,0,0,Google,Lead Import,Olark Chat Conversation
14,1301,6.7,0,0,Olark Chat,API,Olark Chat Conversation
20,146,4.9,0,0,Direct Traffic,Lead Import,Page Visited on Website
8,1895,5.1,0,0,Google,API,Email Opened
10,821,2.1,0,0,Direct Traffic,Lead Import,Page Visited on Website
20,939,1.1,0,0,Other,Lead Add Form,Converted to Lead
13,1838,4.7,0,0,Direct Traffic,Lead Import,Email Opened
1,1763,0.9,0,1,Reference,Landing Page Submission,Page Visited on Website
