Company,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Do Not Email,Do Not Call,Lead Source,Lead Origin,Last Activity
Cloudra Co,21,1964,2.8,1,0,Olark Chat,Lead Import,Olark Chat Conversation
Cloudra LLC,12,1743,0.0,0,1,Olark Chat,API,Olark Chat Conversation
Synapse Inc,23,2276,1.6,0,1,Google,Landing Page Submission,Email Opened
Databridge Ltd,7,1467,7.6,0,1,Direct Traffic,Lead Add Form,Converted to Lead
Databridge Ltd,6,1736,1.4,0,1,Reference,Lead Import,Converted to Lead
Cloudra Group,24,1387,4.3,0,0,Other,Lead Add Form,Olark Chat Conversation
Pixelbyte Group,14,833,2.0,0,0,Olark Chat,API,Email Opened
Northstar Group,6,1662,0.2,1,0,Organic Search,API,Converted to Lead
Vector LLC,12,964,0.6,0,0,Organic Search,Lead Add Form,Page Visited on Website
Pixelbyte LLC,25,2086,0.4,1,0,Direct Traffic,Lead Add Form,Olark Chat Conversation
Cloudra Group,20,1091,7.6,0,1,Reference,Lead Add Form,SMS Sent
Synapse Ltd,24,613,7.6,0,0,Direct Traffic,Landing Page Submission,Converted to Lead
